id,price,year,manufacturer,model,condition,cylinders,odometer,type,paint_color,state,lat,long,posting_date,fuel_id,transmission_id
7314885483,39990,2020,nissan,370z nismo coupe 2d,good,6 cylinders,8373,coupe,white,al,"33,52","-86,79",2021-04-30T12:11:06-0500,1,1
7314841846,0,2019,infiniti,q50,excellent,6 cylinders,30362,sedan,white,al,"33,61","-85,8",2021-04-30T11:01:43-0500,1,2
7314759358,34990,2019,ram,1500 quad cab big horn,good,6 cylinders,22064,pickup,silver,al,"33,52","-86,79",2021-04-30T08:31:21-0500,3,1
7314664527,36990,2019,toyota,4runner sr5 sport utility,good,6 cylinders,21415,other,silver,al,"33,52","-86,79",2021-04-29T22:11:15-0500,1,1
7314347283,0,2021,nissan,titan xd,excellent,8 cylinders,2576,truck,black,al,"33,61","-85,8",2021-04-29T11:01:30-0500,1,2
7314293077,48900,2019,chevrolet,silverado 2500 hd ltz,like new,8 cylinders,43034,truck,black,al,"34,93","-80,28",2021-04-29T09:23:00-0500,2,2
7314277945,24888,2020,ford,f150 regular cab xl,excellent,6 cylinders,8176,pickup,white,al,"33,42","-86,79",2021-04-29T08:52:28-0500,1,2
7313858171,0,2019,honda,cr v,excellent,4 cylinders,22761,SUV,red,al,"33,61","-85,8",2021-04-28T11:01:45-0500,1,2
7313663160,45300,2019,ram,3500 big horn,excellent,6 cylinders,34125,truck,black,al,"34,93","-80,28",2021-04-27T20:56:56-0500,2,2
7313375333,25990,2020,ram,1500 classic regular cab,good,8 cylinders,12302,pickup,white,al,"33,52","-86,79",2021-04-27T11:31:23-0500,1,1
7313210643,19900,2020,hyundai,sonata,good,4 cylinders,21872,sedan,white,al,"31,32","-89,44",2021-04-27T01:20:37-0500,1,2
7313210587,18900,2020,nissan,altima,good,4 cylinders,47421,sedan,grey,al,"31,32","-89,44",2021-04-27T01:20:03-0500,1,2
7313029336,34900,2021,nissan,pathfinder,excellent,6 cylinders,15400,SUV,white,al,"33,35","-86,83",2021-04-26T16:00:13-0500,1,2
7312876423,17990,2019,ford,edge sel,like new,6 cylinders,1111111,SUV,blue,al,"34,19","-86,85",2021-04-26T11:57:28-0500,1,2
7312873290,0,2019,chevrolet,silverado 3500 ltz 4x4,like new,8 cylinders,1111111,truck,black,al,"34,19","-86,85",2021-04-26T11:52:52-0500,2,2
7312837698,0,2020,gmc,yukon xl,excellent,8 cylinders,42411,SUV,red,al,"33,61","-85,8",2021-04-26T11:01:45-0500,1,2
7312779535,0,2019,toyota,4runner sr5premium 4x4,like new,6 cylinders,44000,SUV,white,al,"34,19","-86,85",2021-04-26T09:29:04-0500,1,2
7312776311,0,2019,chevrolet,silverado 3500 ltz 4x4,like new,8 cylinders,140000,truck,black,al,"34,19","-86,85",2021-04-26T09:23:20-0500,2,2
7312034925,33990,2019,ford,mustang gt coupe 2d,good,8 cylinders,23720,coupe,blue,al,"33,52","-86,79",2021-04-24T14:51:08-0500,1,1
7311830732,24888,2020,ford,f150 regular cab xl,excellent,6 cylinders,8176,pickup,white,al,"33,42","-86,79",2021-04-24T09:17:08-0500,1,2
7311789391,35590,2019,ram,1500 crew cab big horn,good,6 cylinders,22805,pickup,black,al,"33,52","-86,79",2021-04-24T07:31:33-0500,3,1
7311701063,37900,2021,chevrolet,silverado 1500,like new,8 cylinders,5622,truck,white,al,"36,46","-86,66",2021-04-23T21:11:03-0500,1,2
7311701072,31900,2020,ford,transit,like new,6 cylinders,29497,van,white,al,"36,46","-86,66",2021-04-23T21:11:04-0500,1,2
7311701079,32900,2020,ford,transit,like new,6 cylinders,6735,van,white,al,"36,46","-86,66",2021-04-23T21:11:04-0500,1,2
7311701059,31500,2020,gmc,savana,like new,8 cylinders,24585,van,white,al,"36,46","-86,66",2021-04-23T21:11:03-0500,1,2
7311701051,29900,2020,ford,f-150,like new,8 cylinders,23004,truck,white,al,"36,46","-86,66",2021-04-23T21:11:02-0500,1,2
7311682760,37500,2021,infiniti,qx 50 luxe,like new,4 cylinders,4230,SUV,white,al,"33,29","-86,77",2021-04-23T20:11:11-0500,1,3
7311360610,26900,2020,ford,f150 regular cab xl,excellent,6 cylinders,8176,pickup,white,al,"33,42","-86,79",2021-04-23T10:26:14-0500,1,2
7311346662,40888,2021,jeep,gladiator,like new,6 cylinders,27955,SUV,black,al,"32,92","-86,54",2021-04-23T10:03:07-0500,1,2
7311269291,31990,2019,ram,1500 quad cab harvest pickup,good,6 cylinders,27426,pickup,white,al,"33,52","-86,79",2021-04-23T07:21:11-0500,1,1
7311042920,40888,2021,jeep,gladiator,like new,6 cylinders,27955,SUV,black,al,"32,92","-86,54",2021-04-22T15:39:57-0500,1,2
7310872664,0,2020,chevrolet,silverado 1500,excellent,8 cylinders,15807,truck,red,al,"33,61","-85,8",2021-04-22T11:01:50-0500,1,2
7310253814,32990,2019,acura,mdx sh-awd w/technology,good,6 cylinders,31967,SUV,brown,al,"33,52","-86,79",2021-04-21T07:31:38-0500,1,1
7309596141,32500,2020,ford,f-150,like new,6 cylinders,7700,truck,grey,al,"33,67","-86,54",2021-04-19T19:44:20-0500,1,2
7309222991,27590,2019,lincoln,mkx reserve sport,good,6 cylinders,48039,other,white,al,"33,52","-86,79",2021-04-19T09:41:01-0500,1,1
7308854113,36590,2020,gmc,sierra 1500 limited double,good,8 cylinders,14222,pickup,blue,al,"33,52","-86,79",2021-04-18T13:30:54-0500,1,1
7308703132,24590,2019,nissan,frontier crew cab pro-4x,good,6 cylinders,33036,pickup,black,al,"33,52","-86,79",2021-04-18T08:53:38-0500,1,1
7308450063,28500,2020,gmc,acadia,good,6 cylinders,43961,SUV,black,al,"33,77","-86,48",2021-04-17T15:24:17-0500,1,2
7308295742,33990,2019,jeep,wrangler unlimited willys,good,6 cylinders,34636,other,white,al,"33,52","-86,79",2021-04-17T11:31:17-0500,1,1
7308232383,39590,2019,jeep,wrangler unlimited all new,good,6 cylinders,21893,SUV,silver,al,"33,52","-86,79",2021-04-17T09:51:15-0500,1,1
7307744591,0,2021,nissan,altima,excellent,4 cylinders,9187,sedan,silver,al,"33,61","-85,8",2021-04-16T11:01:47-0500,1,2
7307246197,46990,2021,gmc,yukon slt sport utility 4d,good,8 cylinders,28552,other,white,al,"33,52","-86,79",2021-04-15T11:41:12-0500,1,1
7307246117,33590,2021,chevrolet,silverado 1500 double,good,6 cylinders,15591,pickup,white,al,"33,52","-86,79",2021-04-15T11:41:06-0500,3,1
7307219629,0,2020,ford,fiesta,excellent,4 cylinders,45056,hatchback,white,al,"33,61","-85,8",2021-04-15T11:01:44-0500,1,2
7307115835,47590,2021,gmc,yukon slt sport utility 4d,good,8 cylinders,26215,SUV,white,al,"33,52","-86,79",2021-04-15T07:51:23-0500,1,1
7307067929,22900,2019,nissan,frontier,good,4 cylinders,14570,truck,custom,al,"31,32","-89,44",2021-04-15T01:47:21-0500,1,2
7306897152,21990,2019,nissan,maxima,good,6 cylinders,25500,sedan,white,al,"40,47","-74,28",2021-04-14T16:12:41-0500,1,2
7306895561,36490,2019,ford,e-series cutaway,good,10 cylinders,16535,truck,white,al,"40,47","-74,28",2021-04-14T16:10:01-0500,1,2
7306854164,34500,2020,ford,transit,like new,6 cylinders,7646,van,white,al,"36,46","-86,66",2021-04-14T14:59:22-0500,1,2
7306854137,32700,2020,ford,transit,like new,6 cylinders,13646,van,white,al,"36,46","-86,66",2021-04-14T14:59:20-0500,1,2
7306854140,32900,2020,ford,transit,like new,6 cylinders,6735,van,white,al,"36,46","-86,66",2021-04-14T14:59:20-0500,1,2
7306854119,34800,2020,ford,transit,like new,6 cylinders,31020,van,white,al,"36,46","-86,66",2021-04-14T14:59:19-0500,1,2
7306353067,35500,2020,chevrolet,silverado 4x4,like new,8 cylinders,7189,truck,black,al,"29,03","-81,33",2021-04-13T15:24:37-0500,1,2
7305659436,0,2021,honda,pilot,excellent,6 cylinders,15299,SUV,white,al,"33,61","-85,8",2021-04-12T11:01:40-0500,1,2
7305614933,17990,2019,ford,edge sel,like new,6 cylinders,101000,SUV,blue,al,"34,19","-86,85",2021-04-12T09:55:40-0500,1,2
7305612073,0,2019,chevrolet,silverado 3500 ltz 4x4,like new,8 cylinders,9999999,truck,black,al,"34,19","-86,85",2021-04-12T09:50:52-0500,2,2
7305579239,40888,2021,jeep,gladiator,like new,6 cylinders,27955,SUV,black,al,"32,92","-86,54",2021-04-12T08:53:08-0500,1,2
7305377226,38000,2021,chevrolet,colorado crew cab lt,like new,4 cylinders,8932,pickup,white,al,"33,51","-86,8",2021-04-11T17:18:41-0500,2,2
7305121999,35990,2021,infiniti,q60 3.0t pure coupe 2d,good,6 cylinders,8677,coupe,black,al,"33,52","-86,79",2021-04-11T09:11:27-0500,1,1
7304888974,27500,2019,acura,tlx,good,6 cylinders,21115,sedan,black,al,"33,77","-86,48",2021-04-10T15:57:13-0500,1,2
7304888907,19900,2019,kia,sportage,good,4 cylinders,35823,SUV,black,al,"33,77","-86,48",2021-04-10T15:57:05-0500,1,2
7304750558,41990,2020,toyota,4runner limited,good,6 cylinders,32326,SUV,black,al,"33,52","-86,79",2021-04-10T12:11:23-0500,1,1
7304456148,35900,2021,ram,1500 big horn,good,8 cylinders,21028,pickup,silver,al,"33,24","-86,82",2021-04-09T18:35:32-0500,1,2
7304109313,40988,2021,jeep,gladiator,like new,6 cylinders,27955,SUV,black,al,"32,92","-86,54",2021-04-09T08:46:05-0500,1,2
7303734535,28990,2019,infiniti,qx60 3.5 sport utility,good,6 cylinders,32458,SUV,black,al,"33,52","-86,79",2021-04-08T12:31:21-0500,1,1
7303728061,20590,2019,chrysler,300 limited sedan 4d,good,6 cylinders,71021,sedan,black,al,"33,52","-86,79",2021-04-08T12:21:20-0500,1,1
7303640392,29600,2020,gmc,savana,like new,8 cylinders,30052,van,white,al,"36,46","-86,66",2021-04-08T10:08:48-0500,1,2
7303640373,36700,2020,ford,transit 250,excellent,6 cylinders,14985,van,white,al,"36,46","-86,66",2021-04-08T10:08:46-0500,1,2
7303640381,37900,2021,chevrolet,silverado 1500,like new,8 cylinders,5622,truck,white,al,"36,46","-86,66",2021-04-08T10:08:47-0500,1,2
7303640383,32800,2019,ford,transit,excellent,6 cylinders,43479,van,white,al,"36,46","-86,66",2021-04-08T10:08:47-0500,1,2
7303640386,31900,2020,ford,transit 250,excellent,6 cylinders,29497,van,white,al,"36,46","-86,66",2021-04-08T10:08:47-0500,1,2
7303640387,38300,2021,ford,transit,like new,6 cylinders,7540,van,white,al,"36,46","-86,66",2021-04-08T10:08:47-0500,1,2
7303640365,34800,2020,ford,transit,excellent,6 cylinders,31020,van,white,al,"36,46","-86,66",2021-04-08T10:08:46-0500,1,2
7303190384,51990,2021,gmc,yukon slt sport utility 4d,good,8 cylinders,33829,SUV,black,al,"33,52","-86,79",2021-04-07T12:01:10-0500,3,1
7303163934,49990,2021,gmc,yukon slt sport utility 4d,good,8 cylinders,31166,SUV,blue,al,"33,52","-86,79",2021-04-07T11:20:58-0500,3,1
7303124187,47990,2021,gmc,yukon slt sport utility 4d,good,8 cylinders,29827,SUV,black,al,"33,52","-86,79",2021-04-07T10:21:03-0500,1,1
7303096052,0,2019,chevrolet,silverado 3500 ltz 4x4,like new,8 cylinders,9999999,truck,black,al,"34,19","-86,85",2021-04-07T09:35:47-0500,2,2
7303093382,36590,2021,gmc,acadia denali sport utility,good,6 cylinders,33026,SUV,black,al,"33,52","-86,79",2021-04-07T09:31:08-0500,1,1
7303086521,0,2019,ford,edge sel,like new,6 cylinders,101000,SUV,blue,al,"34,19","-86,85",2021-04-07T09:19:21-0500,1,2
7303085844,0,2019,chevrolet,silverado 3500 hd 4x4,like new,8 cylinders,85000,truck,silver,al,"34,19","-86,85",2021-04-07T09:18:11-0500,2,2
7303078071,39990,2019,toyota,4runner trd pro 4x4,like new,6 cylinders,44000,SUV,white,al,"34,19","-86,85",2021-04-07T09:04:05-0500,1,2
7303037270,33590,2021,chevrolet,silverado 1500 double,good,8 cylinders,30457,pickup,red,al,"33,52","-86,79",2021-04-07T07:31:31-0500,1,1
7302988012,40900,2021,toyota,tacoma 4wd,good,6 cylinders,1582,truck,silver,al,"31,32","-89,44",2021-04-07T00:15:39-0500,1,2
7302987929,18900,2020,nissan,altima,good,4 cylinders,44276,sedan,silver,al,"31,32","-89,44",2021-04-07T00:15:05-0500,1,2
7302819529,28300,2020,bmw,430 gran coupe,excellent,4 cylinders,16000,hatchback,white,al,"33,36","-86,88",2021-04-06T16:02:58-0500,1,2
7302579163,49990,2021,cadillac,xt5 sport suv 4d,good,6 cylinders,4322,SUV,white,al,"33,52","-86,79",2021-04-06T09:41:53-0500,1,1
7302443955,130000,2020,chevrolet,corvette,like new,8 cylinders,5000,coupe,blue,al,"33,63","-86,6",2021-04-05T22:11:19-0500,1,2
7302135961,43590,2021,acura,mdx sh-awd w/technology,good,6 cylinders,12012,other,silver,al,"33,52","-86,79",2021-04-05T12:00:56-0500,1,1
7302135993,43990,2021,acura,mdx sh-awd w/technology,good,6 cylinders,1944,SUV,silver,al,"33,52","-86,79",2021-04-05T12:00:58-0500,1,1
7302095613,0,2019,toyota,rav4,excellent,4 cylinders,29594,SUV,white,al,"33,61","-85,8",2021-04-05T11:01:42-0500,1,2
7302009728,40988,2021,jeep,gladiator,like new,6 cylinders,27955,SUV,black,al,"32,92","-86,54",2021-04-05T08:41:19-0500,1,2
7301980505,39990,2021,acura,mdx sh-awd sport utility,good,6 cylinders,1237,other,white,al,"33,52","-86,79",2021-04-05T07:31:27-0500,1,1
7301711414,51990,2019,cadillac,escalade esv premium,good,8 cylinders,72367,SUV,black,al,"33,52","-86,79",2021-04-04T12:21:02-0500,3,2
7316775176,39590,2021,chevrolet,silverado 1500 crew,good,8 cylinders,19160,pickup,red,al,"31,23","-85,4",2021-05-04T11:31:09-0500,1,1
7316512282,49900,2020,lexus,rx 450h,new,6 cylinders,1900,SUV,white,al,"30,39","-86,47",2021-05-03T18:54:30-0500,4,2
7316380520,34990,2019,jeep,grand cherokee trailhawk,good,6 cylinders,37509,other,black,al,"31,23","-85,4",2021-05-03T14:40:59-0500,1,1
7316181955,36990,2019,gmc,sierra 1500 double cab sle,good,8 cylinders,23424,pickup,black,al,"31,23","-85,4",2021-05-03T09:31:21-0500,1,1
7316181863,39590,2021,ford,mustang gt premium coupe 2d,good,8 cylinders,1419,coupe,white,al,"31,23","-85,4",2021-05-03T09:31:13-0500,1,1
7315245358,31590,2019,toyota,4runner sr5 sport utility,good,6 cylinders,62496,other,red,al,"31,23","-85,4",2021-05-01T08:10:05-0500,1,1
7315245328,32990,2020,dodge,challenger r/t coupe 2d,good,8 cylinders,2676,coupe,white,al,"31,23","-85,4",2021-05-01T08:10:00-0500,1,1
7314922423,34590,2019,ford,f150 super cab xl pickup 4d,good,6 cylinders,20856,pickup,white,al,"31,23","-85,4",2021-04-30T13:11:37-0500,1,1
7314823168,34990,2019,ram,1500 quad cab big horn,good,6 cylinders,22064,pickup,silver,al,"31,23","-85,4",2021-04-30T10:31:01-0500,3,1
7313368672,34990,2019,ram,1500 crew cab slt pickup 4d,good,6 cylinders,20894,pickup,silver,al,"31,23","-85,4",2021-04-27T11:21:18-0500,1,1
7313325127,25990,2020,ram,1500 classic regular cab,good,8 cylinders,12302,pickup,white,al,"31,23","-85,4",2021-04-27T10:11:10-0500,1,1
7313246699,32500,2019,ford,f-150,like new,6 cylinders,47000,truck,white,al,"31,22","-85,48",2021-04-27T07:13:23-0500,1,2
7311338967,31990,2019,ram,1500 quad cab harvest pickup,good,6 cylinders,27426,pickup,white,al,"31,23","-85,4",2021-04-23T09:50:48-0500,1,1
7308796837,33990,2019,jeep,wrangler unlimited willys,good,6 cylinders,34636,other,white,al,"31,23","-85,4",2021-04-18T11:51:03-0500,1,1
7308773311,36590,2020,gmc,sierra 1500 limited double,good,8 cylinders,14222,pickup,blue,al,"31,23","-85,4",2021-04-18T11:10:42-0500,1,1
7308237794,32990,2019,jeep,wrangler sahara (jk) sport,good,6 cylinders,30533,SUV,black,al,"31,23","-85,4",2021-04-17T10:01:04-0500,1,1
7307285607,28590,2019,gmc,acadia sle-2 sport utility,good,6 cylinders,20736,other,white,al,"31,23","-85,4",2021-04-15T12:40:51-0500,1,1
7305728363,38990,2021,infiniti,qx60 luxe sport utility,good,6 cylinders,5279,other,black,al,"31,23","-85,4",2021-04-12T12:41:17-0500,1,1
7305672261,0,2019,chevrolet,express cargo van,like new,6 cylinders,68472,van,white,al,"31,43","-85,62",2021-04-12T11:20:00-0500,1,2
7305672264,0,2020,chevrolet,express cargo van,like new,6 cylinders,69125,van,white,al,"31,43","-85,62",2021-04-12T11:20:00-0500,1,2
7305672248,0,2019,chevrolet,express cargo van,like new,6 cylinders,66555,van,white,al,"31,43","-85,62",2021-04-12T11:19:58-0500,1,2
7305559995,39990,2021,acura,mdx sh-awd sport utility,good,6 cylinders,1237,other,white,al,"31,23","-85,4",2021-04-12T08:12:00-0500,1,1
7305551849,55000,2020,chevrolet,silverado,like new,8 cylinders,58000,truck,white,al,"31,15","-85,37",2021-04-12T07:51:45-0500,1,2
7304611597,36990,2019,ford,f150 supercrew cab xlt,good,8 cylinders,10170,pickup,black,al,"31,23","-85,4",2021-04-10T08:04:47-0500,1,1
7304611581,33590,2021,chevrolet,silverado 1500 double,good,6 cylinders,15591,pickup,white,al,"31,23","-85,4",2021-04-10T08:04:45-0500,3,1
7304243380,35990,2021,toyota,4runner sr5 sport utility,good,6 cylinders,33556,SUV,black,al,"31,23","-85,4",2021-04-09T12:20:57-0500,1,1
7304171462,39590,2021,toyota,4runner sr5 sport utility,good,6 cylinders,3110,SUV,white,al,"31,23","-85,4",2021-04-09T10:31:08-0500,1,1
7303612022,20590,2019,chrysler,300 limited sedan 4d,good,6 cylinders,71021,sedan,black,al,"31,23","-85,4",2021-04-08T09:21:41-0500,1,1
7303124404,36590,2021,gmc,acadia denali sport utility,good,6 cylinders,33026,SUV,black,al,"31,23","-85,4",2021-04-07T10:21:17-0500,1,1
7303093384,30990,2021,gmc,acadia slt sport utility 4d,good,6 cylinders,35200,SUV,white,al,"31,23","-85,4",2021-04-07T09:31:08-0500,1,1
7301677751,45590,2021,acura,mdx advance pkg sport,good,6 cylinders,3687,SUV,white,al,"31,23","-85,4",2021-04-04T11:01:12-0500,1,1
7301636755,29590,2019,lincoln,continental select sedan,good,6 cylinders,33047,sedan,white,al,"31,23","-85,4",2021-04-04T09:11:32-0500,3,2
7301619860,27590,2019,infiniti,qx60 3.5 sport utility,good,6 cylinders,41119,SUV,blue,al,"31,23","-85,4",2021-04-04T08:13:23-0500,1,2
7315379226,33990,2019,ford,f150 super cab xl pickup 4d,good,6 cylinders,13670,pickup,black,al,"33,78","-84,41",2021-05-01T12:21:32-0500,3,1
7314854259,39590,2021,ford,mustang gt premium coupe 2d,good,8 cylinders,1419,coupe,white,al,"33,78","-84,41",2021-04-30T11:21:02-0500,1,1
7314854286,36590,2021,gmc,sierra 1500 double cab,good,6 cylinders,3592,pickup,white,al,"33,78","-84,41",2021-04-30T11:21:04-0500,1,1
7314854238,39990,2020,nissan,370z nismo coupe 2d,good,6 cylinders,8373,coupe,white,al,"33,78","-84,41",2021-04-30T11:21:00-0500,1,1
7314511309,36990,2019,toyota,4runner sr5 sport utility,good,6 cylinders,21415,other,silver,al,"33,78","-84,41",2021-04-29T15:41:33-0500,1,1
7313336901,25990,2020,ram,1500 classic regular cab,good,8 cylinders,12302,pickup,white,al,"33,78","-84,41",2021-04-27T10:31:06-0500,1,1
7313308648,36590,2020,chevrolet,silverado 1500 crew,good,8 cylinders,7619,pickup,white,al,"33,79","-84,45",2021-04-27T09:41:49-0500,1,1
7311345130,37990,2020,ford,mustang gt coupe 2d,good,8 cylinders,337,coupe,black,al,"33,78","-84,41",2021-04-23T10:01:00-0500,1,1
7310835881,26990,2019,acura,rdx technology and,good,6 cylinders,30386,other,silver,al,"33,78","-84,41",2021-04-22T10:01:12-0500,1,1
7308735496,40590,2020,ford,f250 super duty regular cab,good,8 cylinders,9313,pickup,white,al,"33,79","-84,45",2021-04-18T10:01:15-0500,3,1
7308735407,36590,2020,gmc,sierra 1500 limited double,good,8 cylinders,14222,pickup,blue,al,"33,79","-84,45",2021-04-18T10:01:07-0500,1,1
7307147677,35590,2019,ram,1500 crew cab big horn,good,6 cylinders,22805,pickup,black,al,"33,79","-84,45",2021-04-15T09:00:55-0500,3,1
7306635601,27590,2019,acura,rdx sport utility 4d,good,6 cylinders,22873,SUV,white,al,"33,79","-84,45",2021-04-14T09:11:20-0500,1,1
7303612119,41590,2021,buick,enclave avenir sport,good,6 cylinders,29010,SUV,red,al,"33,79","-84,45",2021-04-08T09:21:48-0500,1,1
7303093380,39990,2020,ram,1500 crew cab big horn,good,6 cylinders,19381,pickup,red,al,"33,79","-84,45",2021-04-07T09:31:08-0500,1,1
7303037394,39590,2020,ram,1500 crew cab big horn,good,6 cylinders,22154,pickup,red,al,"33,79","-84,45",2021-04-07T07:31:46-0500,1,1
7302526943,23990,2019,acura,rdx sport utility 4d,good,6 cylinders,49760,SUV,black,al,"33,79","-84,45",2021-04-06T08:01:13-0500,1,2
7316833917,39590,2021,chevrolet,silverado 1500 crew,good,8 cylinders,19160,pickup,red,al,"34,01","-86,01",2021-05-04T13:01:04-0500,1,1
7316827986,27990,2019,nissan,frontier crew cab pro-4x,good,6 cylinders,37332,pickup,silver,al,"34,01","-86,01",2021-05-04T12:51:40-0500,1,1
7316589571,17000,2020,chevrolet,impala lt,good,4 cylinders,39000,sedan,white,al,"33,65","-85,83",2021-05-03T23:01:52-0500,1,2
7316236994,0,2019,toyota,highlander,excellent,6 cylinders,42661,SUV,red,al,"33,61","-85,8",2021-05-03T11:00:13-0500,1,2
7314872940,34590,2019,ford,f150 super cab xl pickup 4d,good,6 cylinders,20856,pickup,white,al,"34,01","-86,01",2021-04-30T11:51:01-0500,1,1
7314354820,0,2019,nissan,altima,excellent,4 cylinders,68043,sedan,silver,al,"33,61","-85,8",2021-04-29T11:13:48-0500,1,2
7313364043,0,2019,gmc,sierra 1500,excellent,8 cylinders,61247,truck,black,al,"33,61","-85,8",2021-04-27T11:14:12-0500,1,2
7313325231,25990,2020,ram,1500 classic regular cab,good,8 cylinders,12302,pickup,white,al,"34,01","-86,01",2021-04-27T10:11:20-0500,1,1
7310263899,32990,2019,acura,mdx sh-awd w/technology,good,6 cylinders,31967,other,brown,al,"34,01","-86,01",2021-04-21T08:01:46-0500,1,1
7309841701,0,2020,chevrolet,camaro,excellent,6 cylinders,47971,convertible,white,al,"33,61","-85,8",2021-04-20T11:01:08-0500,1,2
7309278562,0,2020,jeep,compass,excellent,4 cylinders,31383,SUV,blue,al,"33,61","-85,8",2021-04-19T11:01:26-0500,1,2
7309197595,38590,2021,lincoln,continental sedan 4d,good,6 cylinders,1772,sedan,black,al,"34,01","-86,01",2021-04-19T09:00:49-0500,1,1
7308751004,36590,2020,gmc,sierra 1500 limited double,good,8 cylinders,14222,pickup,blue,al,"34,01","-86,01",2021-04-18T10:31:02-0500,1,1
7307279084,23990,2020,mitsubishi,outlander gt sport,good,6 cylinders,20657,SUV,brown,al,"34,01","-86,01",2021-04-15T12:31:05-0500,1,1
